requirement_id,phase,issue,origin,state_owner,producer,player_capability,autonomous_trigger,consumers,ui_surfaces,tests,migration,status,notes
OBL-01,2,ISSUE-172,"Plan §4.1 OBL-01 — 18 area-upgrade definitions are catalogued and every area carries an upgrades record, but no owner action installs one","src/sim/state/TavernState.ts AreaUpgradeState — the ONE authoritative construction record (status/progress/requiredProgress/startedAtDay/coinInvested/ownerMinutesInvested/materialsUsed/stalledReason/condition/upkeepDueDay/disabledReason/replacedUpgradeId), plus src/sim/modules/areas/state.ts AreasModuleState at state.modules.areas for the day’s schedule/construction/propagation/capacity bookkeeping",src/sim/modules/areas/construction.ts — the only writer of an upgrade record (startUpgrade/fundUpgrade/pauseUpgrade/resumeUpgrade/cancelUpgrade/completeUpgrade/damageUpgrade/repairUpgrade/serviceUpgrade/tickConstruction/tickUpkeep); src/sim/modules/areas/quote.ts owns eligibility + the quote,"7 owner actions in src/sim/modules/ownerActions/upgradeActions.ts targeting ""<areaId>:<upgradeId>"": start_area_upgrade, fund_area_upgrade, pause_area_upgrade, resume_area_upgrade, cancel_area_upgrade, repair_area_upgrade, maintain_area_upgrade. Every target hint carries its quote","areasModule endDay: buildAreaWorkSchedule → tickConstruction → tickUpkeep (labour banked, builds completed, overdue fittings worn); afterService: capacity snapshot + propagation; area_project_completion / area_collapse_risk / failed_patch_possible scheduled events",src/sim/modules/areas/capacity.ts (usable capacity derived from base+fittings−blockage); src/sim/modules/customers/satisfaction.ts crowding + sanitation signals; src/sim/modules/stock/spoilage.ts overstuffed-store multiplier; src/sim/modules/areas/derived.ts; src/reports/tavernOverviewProjection.ts,"AreaDetailSheet.svelte (capacity, per-upgrade quote or blocked reason, progress, upkeep, damage); AreasPanel.svelte (building + %-closed badges); ProjectsPanel.svelte construction planner (sites / attention / buildable / conflicts); AREA REPORT lines; derived Help in src/reports/upgradeHelp.ts",tests/sim/phase209.areaUpgradeLifecycle.test.ts (35); tests/sim/phase209.areaCapacityAndPropagation.test.ts (27); tests/sim/phase209.constructionBeatPersistence.test.ts (3),done,done,"CLOSED. The owner-project model is unified: the five starters that each duplicated an upgrade definition (private_booths / repair_hearth / music_corner / rat_proof_storage / larger_stew_pot) are retired and live on as legacyProjectType on those definitions, and fund_active_project / cancel_project go with them (their only targets were those five). Owner actions stay at 41. In-flight and completed legacy project rows convert to authoritative upgrade records on load, so no save loses work it paid for. The general project system is kept for non-upgrade projects, with an empty starter list. Migration: ensureAreaConstructionFields (src/sim/state/migrations.ts), wired into the web load chain immediately after ensureAreaIdentityFields. Codex review round (PR #247) fixed eight findings before merge: ensureRegistryRecords backfills newly registered stock/recipe records into existing saves (without it timber/cut_stone never existed for an existing player and every material line rejected the build); a fitting suspends and restores its trait/atmosphere contribution as it leaves and re-enters service; a superseded upgrade cannot be rebuilt alongside its replacement; the construction tick consumes materials a record still owes rather than merely checking it could, and the migration stamps converted legacy projects as already supplied since their legacy quote never charged materials."
OBL-02,11,ISSUE-181,"Plan §4.1 OBL-02 — future hooks for quitting, loan repayment and eviction drain without performing the event they promise",src/sim/modules/responses/types.ts ResponsesModuleState.pending (PendingResponseEntry),src/sim/modules/responses/responseResolver.ts + pendingHelpers.ts (buildPendingFromFutureHook / buildPendingFromImmediateFutureHook),"choosing the response that schedules the hook; no capability to prevent, defer, or settle it",src/sim/modules/responses/responsesModule.ts drain at applyResponses (scheduledFor/expiresAt),src/sim/modules/responses/responsesModule.ts applyPendingEntry — memory draft or zero-weight cause; no domain mutation,src/reports/pendingConsequenceProjection.ts (drainedToday),tests/sim/phase207.baselineAndLedger.test.ts (inventory only),required,open,"Every HOOK- row below is one instance of this obligation. Phase 1 §1.1 types them and registers owners; Phase 11 is the final shared closure. | Phase 1 (ISSUE-171) landed the foundation: src/sim/contracts/scheduledEvents/ types every hook, gives mechanical events a single registered owner and an exactly-once key, and requires a resolved event to name an authoritative mutation (a zero-weight cause no longer counts). Existing hooks are reclassified as narrative_expectation — still inert, but now tracked, expiring and COUNTABLE, which is what lets Phases 2-11 measure the close. Phase 11 remains the final shared closure."
OBL-03,7,ISSUE-177,"Plan §4.1 OBL-03 — inspection suspicion accumulates and issues warnings, but no inspector visit is ever scheduled or resolved","src/sim/modules/monthly/types.ts MonthlyModuleState.inspection (suspicion, warningCount)",src/sim/modules/monthly/inspection.ts (suspicion drift + warning threshold),"pressure-reducing owner actions and inspection response slots; no preparation window, appeal, or remediation path",none — inspection.ts documents the visit event as deferred,src/sim/modules/monthly/landlord.ts (suspicion >= 60); pressure/issue generators,monthly report inspection section; pressure surfaces,tests/sim/phase15.monthly.test.ts (suspicion drift only),required,open,"Plan §7.3 — the visit must consume actual current state (food safety, cleanliness, spoilage, damage, house rules), not the pressure meter."
OBL-04,6,ISSUE-176,"Plan §4.1 OBL-04 — supplier credit and a weekly invoice list are surfaced, but nothing produces an invoice or pays one",src/sim/state/TavernState.ts SupplierWorldState.debtTolerance — a display number with no invoice record behind it,"none — restock buys immediately; no order, delivery promise, or invoice is created","restock owner actions only; no supplier choice, terms, credit request, or payment action","src/sim/modules/suppliers (reliability drift, market conditions) — reports misses, transacts nothing",weekly report invoice block,web/src/lib/components/WeeklyOverview.svelte (supplier invoices section),tests/sim/phase29.suppliersMarketGoods.test.ts; tests/sim/phase84.supplierPricingDelivery.test.ts,required,open,Plan §6.3 — weekly invoice summaries must be derived from real invoice records.
OBL-05,12,ISSUE-182,Plan §4.1 OBL-05 — Easy advertises slower decay but difficulty only edits day-zero values and is not stored in state,none — src/sim/state/difficulty.ts documents that there is no `difficulty` field on TavernState,src/sim/state/difficulty.ts applyDifficultyToBase (start-time only),difficulty selection at new game,none — no ongoing rule reads the selected ruleset,none after day zero,title/new-game difficulty picker; src/reports/glossary.ts difficulty terms,tests/web/difficulty.test.ts (start values only),required,open,"Phase 1 §1.3 persists the ruleset and makes it queryable; Phase 12 §12.1 makes Easy decay genuinely slower under equal seeds. | Phase 1 (ISSUE-171, CON-03) landed the persistent, versioned, queryable ruleset and four ongoing rules that consume it, so easy/standard/hard now diverge measurably under identical seeds. What remains for Phase 12 is the player-facing ongoing-difficulty surface, and for Phase 13 the long-run balance proof (DEP-20)."
OBL-06,12,ISSUE-182,"Plan §4.1 OBL-06 — Quick Day is advertised in Help and the Day screen, but its zero-card eligibility rule is unreachable","web/src/lib/sim/daySession.ts (beat/segment) — session state, not simulation state",web/src/lib/screens/DayScreen.svelte quickDayAvailable (requires zero cards across all five timing slots),"the Quick Day button, which never enables",none,none,web/src/lib/screens/DayScreen.svelte; web/src/lib/components/more/HelpSection.svelte; src/reports/glossary.ts quick_day,none,n/a,open,Plan §6.2 reverses the recorded audit decision DC-01 (Quick Day retired for 0.1.0). The user must settle this before Phase 12; nothing earlier depends on the answer.
OBL-07,12,ISSUE-182,"Plan §4.1 OBL-07 — queued-action Help states actions run at the start of the next sim day, reversing the real same-day behavior",src/sim/modules/ownerActions (queued actions applied in Segment B of the same day),src/reports/glossary.ts queued_action (prose written independently of the rule),queueing and cancelling action chips during the plan beat,n/a,players reading Help,src/reports/glossary.ts queued_action; web/src/lib/components/more/HelpSection.svelte,none,n/a,open,Plan §5.12 — Help must be generated from shared rule metadata rather than a second prose-only description of timing.
OBL-08,11,ISSUE-181,Plan §4.1 OBL-08 — rumour decay and staff-mastery transitions change visible state without a matching cause,src/sim/state/TavernState.ts WorldState.socialRumours; src/sim/modules/arcs/staffMasteryArc.ts,daily rumour decay; staff mastery stage transitions,"n/a — this is a causality obligation, not a mechanic",rumourUpdate phase; arc progression,src/sim/modules/causes; src/reports (cause-backed explanations); scripts/true-gaps-audit.ts,daily/weekly cause lists; drilldown explanations,tests/sim/phase197.causeCoverage.test.ts; tests/sim/phase201.wave2.causality.test.ts,n/a,open,"Split across the arc: Phase 1 §1.4 adds grouped causes and collection-element targets, Phase 8 closes the rumour half, Phase 10 the mastery half. | Phase 1 (ISSUE-171, CON-04) added the grouped-cause convention for high-volume homogeneous drift such as daily rumour decay, and fixed the missing arcs/ventures/transformations join that made staff-mastery transitions read as uncaused. The producers that emit those grouped causes land with Phase 8 (rumour) and Phase 10 (mastery)."
OBL-09,10,ISSUE-180,"Plan §4.1 OBL-09 — tavern nicknames are displayed from rumours tagged `nickname`, but no simulation path ever creates one",src/sim/state/TavernState.ts WorldState.socialRumours (tags include `nickname`),none — no generator emits a nickname-tagged rumour,none,none,src/reports/worldOverviewProjection.ts (filters rumours tagged `nickname`),web/src/lib/components/world/TavernIdentityStrip.svelte; src/reports/glossary.ts nickname,"none — the consumer is covered, the producer does not exist",required,open,Plan §10.4 — tests must earn a nickname through normal simulation; injecting a tagged rumour proves only the consumer.
DEP-01,5,ISSUE-175,Plan §4.2 — cash must respond meaningfully to persistent quality and reputation collapse,"src/sim/state/TavernState.ts coin, reputation; src/sim/modules/customers (patronage/satisfaction)",src/sim/modules/service (turnout and spend); src/sim/modules/customers forecast,"pricing, menu, cleaning, staffing owner actions",daily forecast and service resolution,src/sim/modules/weekly; src/sim/modules/monthly accounting,daily/weekly report economy blocks,tests/sim/phase200.wave1.strategyMatrix.test.ts; tests/sim/phase206.wave7.balanceHarness.test.ts,required,open,"Absorbs ISSUE-168 (satisfaction to traffic elasticity). Re-baseline balance:matrix once, in Phase 5."
